score_adjusted,bubble_rating,views,location_grade,amenity_count,time_to_booking,Actual_Segment,Predicted_Segment
4.51282051282051,4.5,0,100.0,11,16,Mid-Price Hotels,Mid-Price Hotels
3.90593220338983,4.0,0,100.0,36,3,High-Price Hotels,High-Price Hotels
3.69078947368421,3.5,0,100.0,15,15,Mid-Price Hotels,Mid-Price Hotels
3.90625,4.0,0,100.0,17,22,Low-Price Hotels,Low-Price Hotels
1.0,1.0,0,72.0,6,13,Low-Price Hotels,Low-Price Hotels
4.93248945147679,5.0,0,100.0,13,18,Mid-Price Hotels,Mid-Price Hotels
4.9375,5.0,0,100.0,22,29,Low-Price Hotels,Low-Price Hotels
3.67647058823529,3.5,0,100.0,22,30,Low-Price Hotels,Low-Price Hotels
3.0,3.0,0,100.0,0,6,Mid-Price Hotels,Mid-Price Hotels
4.56470588235294,4.5,0,100.0,29,19,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,97.0,1,12,High-Price Hotels,High-Price Hotels
4.95522388059702,5.0,0,85.0,19,4,High-Price Hotels,High-Price Hotels
3.44863731656184,3.5,0,51.0,38,30,Low-Price Hotels,Low-Price Hotels
4.2944262295082,4.5,0,79.0,55,15,High-Price Hotels,Mid-Price Hotels
4.22222222222222,4.0,0,100.0,20,13,High-Price Hotels,High-Price Hotels
4.59459459459459,4.5,0,100.0,26,8,High-Price Hotels,High-Price Hotels
4.95,5.0,0,96.0,14,30,Low-Price Hotels,Low-Price Hotels
4.14637482900137,4.0,0,100.0,35,26,Mid-Price Hotels,Low-Price Hotels
3.3,3.5,0,100.0,8,22,Low-Price Hotels,Low-Price Hotels
4.66484375,4.5,10,100.0,34,10,High-Price Hotels,High-Price Hotels
4.14285714285714,4.0,0,100.0,20,16,Mid-Price Hotels,Mid-Price Hotels
4.57228915662651,4.5,0,100.0,21,23,Mid-Price Hotels,Mid-Price Hotels
5.0,5.0,0,77.0,7,27,Low-Price Hotels,Low-Price Hotels
4.73575129533679,4.5,0,99.0,30,1,High-Price Hotels,High-Price Hotels
4.16666666666667,4.0,0,54.0,0,16,Low-Price Hotels,Low-Price Hotels
4.17142857142857,4.0,0,100.0,32,3,High-Price Hotels,High-Price Hotels
4.65625,4.5,0,100.0,39,3,High-Price Hotels,High-Price Hotels
2.85714285714286,3.0,0,99.0,2,19,Low-Price Hotels,Low-Price Hotels
3.77935943060498,4.0,0,88.0,16,7,Mid-Price Hotels,Mid-Price Hotels
4.26,4.5,0,93.0,19,1,High-Price Hotels,High-Price Hotels
3.61538461538462,3.5,0,100.0,15,2,High-Price Hotels,High-Price Hotels
1.8,2.0,0,100.0,4,29,Low-Price Hotels,Low-Price Hotels
3.0,3.0,0,40.0,0,14,Low-Price Hotels,Low-Price Hotels
4.65555555555556,4.5,0,100.0,41,24,Mid-Price Hotels,Mid-Price Hotels
3.7845220030349,4.0,8,82.0,48,30,Low-Price Hotels,Mid-Price Hotels
3.0,3.0,0,100.0,0,26,Low-Price Hotels,Low-Price Hotels
4.66666666666667,4.5,0,100.0,24,17,High-Price Hotels,High-Price Hotels
4.50428816466552,4.5,4,100.0,37,18,High-Price Hotels,High-Price Hotels
1.68617021276596,1.5,0,100.0,14,19,Low-Price Hotels,Low-Price Hotels
4.65423728813559,4.5,0,100.0,26,30,Low-Price Hotels,Low-Price Hotels
4.36,4.5,0,98.0,20,28,Low-Price Hotels,Low-Price Hotels
2.75336322869955,3.0,0,100.0,10,16,Low-Price Hotels,Low-Price Hotels
4.48606811145511,4.5,0,82.0,22,25,Low-Price Hotels,Low-Price Hotels
4.0,4.0,0,92.0,3,18,Low-Price Hotels,Low-Price Hotels
4.14593781344032,4.0,0,100.0,44,3,High-Price Hotels,High-Price Hotels
4.28571428571429,4.5,0,100.0,18,3,High-Price Hotels,High-Price Hotels
3.88888888888889,4.0,0,100.0,7,17,Mid-Price Hotels,Mid-Price Hotels
4.75443786982249,5.0,0,82.0,22,30,Low-Price Hotels,Low-Price Hotels
4.65094339622642,4.5,0,100.0,16,7,High-Price Hotels,High-Price Hotels
4.76774193548387,5.0,0,100.0,16,28,Low-Price Hotels,Low-Price Hotels
5.0,5.0,0,100.0,0,15,Mid-Price Hotels,Mid-Price Hotels
1.84615384615385,2.0,0,100.0,6,3,Mid-Price Hotels,Mid-Price Hotels
4.76744186046512,5.0,0,100.0,23,19,Mid-Price Hotels,Mid-Price Hotels
4.82191780821918,5.0,0,100.0,13,19,Mid-Price Hotels,Mid-Price Hotels
4.62514220705347,4.5,12,100.0,27,13,High-Price Hotels,High-Price Hotels
4.15,4.0,0,100.0,23,24,Mid-Price Hotels,Mid-Price Hotels
4.91836734693878,5.0,0,100.0,9,8,High-Price Hotels,High-Price Hotels
4.03934426229508,4.0,0,100.0,13,25,Low-Price Hotels,Low-Price Hotels
3.58741258741259,3.5,0,100.0,34,30,Low-Price Hotels,Low-Price Hotels
3.0,3.0,0,36.0,0,18,Low-Price Hotels,Low-Price Hotels
4.28571428571429,4.5,0,100.0,15,21,Mid-Price Hotels,Mid-Price Hotels
3.34517203107658,3.5,5,100.0,34,24,Mid-Price Hotels,Mid-Price Hotels
3.11764705882353,3.0,0,100.0,13,10,Mid-Price Hotels,Mid-Price Hotels
